,season,stage,date,match_id,home_team_id,away_team_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,result,Year,Hour,Month,Day,HmGoals,Hmassists,awGoals,awassists
10,2015/2016,10,2015-10-24,45484,9825,8668,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,30859,427438.0,177503,46539,38521,159594,37436,196386.0,36378,50047,46469,31465,77690.0,263653,23268,316688,101192,23782,251925,215384,30895,181276,win,2015,0,10,24,72.0,69.0,90.0,94.0
11,2015/2016,10,2015-10-24,44432,10252,10003,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,69650,32870.0,24208,33086,30352,183500,179410,154280.0,23264,312765,107415,30973,111800.0,155050,24948,102356,144996,127130,95955,157729,52563,26344,win,2015,0,10,24,99.0,64.0,50.0,52.0
12,2015/2016,10,2015-10-25,54812,8678,8586,1,2,4,6,8,2,8,4,6,5,5,1,8,2,4,6,6,3,7,4,5,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,6,8,8,6,8,11,30974,35515.0,156013,24216,68237,155913,24381,23629.0,46810,185236,35523,26295,46353.0,159833,160599,37762,41008,174850,157723,361315,363333,194165,lose,2015,0,10,25,13.0,6.0,47.0,52.0
13,2015/2016,10,2015-10-24,33306,8197,9826,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,6,6,8,8,8,11,37770,49571.0,23571,38899,43061,139671,173317,319300.0,214570,278343,286119,36283,23358.0,23837,26777,154271,28901,26160,46417,35345,160194,24157,lose,2015,0,10,24,36.0,27.0,77.0,53.0
14,2015/2016,10,2015-10-25,57312,8650,8466,1,2,4,6,8,4,6,3,5,7,5,1,4,6,2,8,6,3,7,4,5,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,8,8,6,8,11,37868,157838.0,22764,94043,314605,307021,95327,38807.0,184536,37234,426202,30841,26552.0,209405,160627,46010,166676,209384,94267,23792,303339,41280,win,2015,0,10,25,90.0,96.0,29.0,26.0
15,2015/2016,10,2015-10-25,51069,10260,8456,1,2,4,6,8,6,5,4,3,7,5,1,2,8,4,6,4,3,6,7,5,5,1,3,3,3,3,6,8,6,8,8,11,1,3,3,3,3,6,8,6,8,8,11,182917,35327.0,186137,165823,161035,30872,164676,46893.0,41468,413557,30829,31432,26111.0,16351,39027,174321,40196,169200,101103,246575,36615,143365,win,2015,0,10,25,79.0,85.0,102.0,90.0
16,2015/2016,10,2015-10-24,50858,9850,8659,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,10,10,40602,24903.0,72417,26209,231801,201664,40100,46354.0,23538,35493,38369,23021,169162.0,32441,43248,23257,33468,24148,113968,175947,51545,239807,win,2015,0,10,24,53.0,42.0,88.0,86.0
17,2015/2016,10,2015-10-24,42270,10194,9817,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,288880,34036.0,119541,200962,37194,23253,39109,176300.0,96643,110148,172321,30455,213809.0,40548,114769,417068,22991,41365,24915,72436,25816,101419,win,2015,0,10,24,65.0,73.0,15.0,4.0
18,2015/2016,10,2015-10-25,51771,8472,10261,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,9,11,103428,432040.0,24150,26108,22964,25150,109330,24159.0,39139,42598,32627,23979,104482.0,277761,30929,308932,94550,38373,160243,108038,479020,351860,win,2015,0,10,25,50.0,44.0,33.0,35.0
19,2015/2016,10,2015-10-24,51701,8654,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,169756,214685.0,109897,24751,155782,148302,37169,18506.0,210276,25496,192899,46518,281207.0,23783,30627,72541,79574,115067,94086,30613,107417,19243,lose,2015,0,10,24,43.0,42.0,136.0,124.0
20,2015/2016,11,2015-10-31,41533,8455,8650,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,4,6,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,6,8,8,11,46518,281207.0,23783,30627,72541,79574,32345,94086.0,128864,107417,19243,37868,157838.0,22764,94043,314605,38807,95327,307021,37234,184536,242709,win,2015,0,10,31,125.0,85.0,90.0,96.0
21,2015/2016,11,2015-10-31,37879,9826,10260,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,36283,154271.0,23837,23030,146830,26160,28901,198510.0,35345,160194,363340,182917,46820.0,165823,161012,161035,46893,30872,41468,164676,413557,30829,win,2015,0,10,31,70.0,55.0,61.0,43.0
22,2015/2016,11,2015-11-01,54661,8668,8472,1,2,4,6,8,4,6,3,5,7,5,1,3,5,7,2,4,6,8,5,4,6,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,7,7,7,7,9,11,11,31465,77690.0,263653,213878,193859,101192,23782,251925.0,215384,30922,181276,103428,165526.0,30362,22964,432040,25150,109330,180330,24159,30348,32627,win,2015,0,11,1,71.0,64.0,107.0,56.0
23,2015/2016,11,2015-10-31,50540,8456,9850,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,9,11,31432,26111.0,39027,174321,16351,33991,36615,40196.0,169200,643709,143365,40602,24903.0,72417,26209,25667,231801,40100,71502,23538,46354,31953,win,2015,0,10,31,86.0,87.0,59.0,42.0
24,2015/2016,11,2015-10-31,50985,10261,10194,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,23979,104482.0,277761,30929,308932,94550,38373,109652.0,108038,351860,479020,288880,34036.0,40695,200962,37194,39109,23253,176300,96643,110148,33881,lose,2015,0,10,31,19.0,29.0,80.0,75.0
25,2015/2016,11,2015-11-01,55197,8466,8678,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,7,11,30841,160627.0,26552,209405,46010,166676,209384,23792.0,303339,94267,41280,38617,160447.0,35515,24216,68237,155913,23629,155129,46810,24381,35523,win,2015,0,11,1,29.0,26.0,13.0,5.0
26,2015/2016,11,2015-10-31,36880,10003,9825,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,30973,111800.0,155050,24948,102356,144996,127130,95955.0,157729,52563,26344,30859,427438.0,35606,46539,38521,159594,37436,242094,36378,50047,46469,lose,2015,0,10,31,50.0,52.0,71.0,62.0
27,2015/2016,11,2015-11-02,48360,8586,10252,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,9,11,26295,159833.0,160599,37762,46353,361315,363333,174850.0,41008,157723,194165,69650,32870.0,161414,33086,30352,183500,56972,182223,23991,312765,23264,win,2015,0,11,2,47.0,52.0,62.0,49.0
28,2015/2016,11,2015-10-31,42639,9817,8654,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,30455,213809.0,114769,40548,417068,41365,22991,25816.0,72436,24915,101419,169756,214685.0,109897,24751,155782,148302,37169,210276,25496,106228,47382,draw,2015,0,10,31,15.0,4.0,55.0,54.0
29,2015/2016,11,2015-10-31,43215,8659,8197,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23021,169162.0,32441,43248,23257,33468,24148,113968.0,175947,239807,51545,37770,49571.0,23571,38899,214570,278343,173317,319300,139671,26554,286119,win,2015,0,10,31,108.0,88.0,47.0,30.0
30,2015/2016,12,2015-11-08,45467,9825,8586,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,30859,26154.0,35606,46539,38521,159594,37436,242094.0,36378,50047,46469,26295,159833.0,160599,37762,46353,361315,363333,174850,41008,157723,194165,win,2015,0,11,8,72.0,64.0,47.0,52.0
31,2015/2016,12,2015-11-08,52715,10252,8456,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11,69650,32870.0,161414,24208,473853,261313,56972,179410.0,358289,154280,23991,31432,26111.0,39027,174321,16351,40196,101103,169200,36615,246575,143365,lose,2015,0,11,8,19.0,18.0,102.0,90.0
32,2015/2016,12,2015-11-07,57082,8678,10261,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,10,10,38617,160447.0,35515,24216,68237,155913,46810,23629.0,160496,155129,185236,23979,104482.0,277761,30929,308932,94550,109652,38373,108038,479020,351860,draw,2015,0,11,7,19.0,7.0,26.0,29.0
33,2015/2016,12,2015-11-07,45321,8197,9817,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,10,10,37770,49571.0,23571,38899,43061,139671,173317,319300.0,214570,278343,286119,30455,213809.0,114769,40548,417068,24915,22991,41365,25816,72436,101419,win,2015,0,11,7,36.0,27.0,15.0,4.0
34,2015/2016,12,2015-11-08,35701,8650,9826,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,37868,157838.0,22764,94043,314605,307021,95327,280653.0,184536,37234,148315,36283,154271.0,23837,23030,183519,26160,28901,198510,35345,160194,46417,win,2015,0,11,8,64.0,51.0,69.0,53.0
35,2015/2016,12,2015-11-07,58254,10260,8659,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,182917,23354.0,165823,161012,161035,34944,30872,41468.0,30829,299215,413557,23021,169162.0,32441,43248,23257,24148,113968,175947,24171,33468,51545,win,2015,0,11,7,217.0,148.0,108.0,108.0
36,2015/2016,12,2015-11-07,49299,9850,10003,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,6,6,8,8,8,11,40602,265918.0,72417,26209,25667,46354,40100,24393.0,231801,35493,31953,30973,111800.0,155050,24948,102356,144996,127130,95955,157729,52563,26344,win,2015,0,11,7,36.0,29.0,50.0,52.0
37,2015/2016,12,2015-11-07,31212,10194,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,288880,34036.0,40695,200962,37194,23253,39109,176300.0,96643,110148,33881,46518,72541.0,281207,30627,324910,79574,115067,150250,94086,107417,19243,win,2015,0,11,7,80.0,75.0,90.0,61.0
38,2015/2016,12,2015-11-07,41365,8472,8466,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,103428,432040.0,165526,26108,22964,109330,118929,24159.0,39139,520230,32627,30841,72665.0,26552,209405,46010,23792,209384,303339,279490,94267,41280,lose,2015,0,11,7,56.0,37.0,29.0,34.0
39,2015/2016,12,2015-11-07,48012,8654,8668,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,169756,214685.0,109897,35110,155782,148302,37169,210276.0,25496,106228,47382,31465,77690.0,263653,213878,316688,101192,23782,251925,215384,30922,181276,win,2015,0,11,7,51.0,53.0,68.0,61.0
40,2015/2016,13,2015-11-21,43153,8455,9850,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,7,11,46518,31306.0,281207,30627,467354,30613,115067,94086.0,107417,150250,19243,40602,265918.0,72417,26209,25667,201664,46354,71502,24393,231801,38369,win,2015,0,11,21,121.0,116.0,40.0,30.0
41,2015/2016,13,2015-11-23,53278,9826,8472,1,2,4,6,8,4,6,3,5,7,5,1,3,5,7,1,3,5,7,9,4,6,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,7,7,7,7,7,10,10,36283,146830.0,23837,23030,183519,26160,28901,198510.0,160194,35345,169721,103428,165526.0,24150,26108,22964,35443,109330,25150,180330,32627,30348,win,2015,0,11,23,70.0,52.0,97.0,57.0
42,2015/2016,13,2015-11-21,38782,8668,10252,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10,31465,77690.0,263653,213878,316688,101192,23782,251925.0,215384,30922,181276,69650,32870.0,24208,161414,30352,179410,182223,261313,358289,154280,312765,win,2015,0,11,21,68.0,61.0,39.0,38.0
43,2015/2016,13,2015-11-21,59136,8456,8650,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,31432,26111.0,30459,156551,16351,36615,101103,33991.0,169200,246575,37412,37868,157838.0,22764,114268,314605,307021,95327,38807,37234,184536,242709,win,2015,0,11,21,90.0,95.0,91.0,97.0
44,2015/2016,13,2015-11-21,44407,10261,8197,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23979,104482.0,277761,30929,308932,94550,109652,38373.0,108038,351860,479020,37770,49571.0,23571,38899,43061,278343,319300,173317,139671,26554,286119,win,2015,0,11,21,19.0,29.0,43.0,28.0
45,2015/2016,13,2015-11-21,35327,8466,10194,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,30841,160627.0,26552,209405,46010,166676,209384,23293.0,23792,94267,41280,288880,34036.0,40695,200962,37194,23253,39109,176300,96643,110148,33881,lose,2015,0,11,21,48.0,35.0,80.0,75.0
46,2015/2016,13,2015-11-21,52850,10003,8678,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,9,11,30973,111800.0,165704,24948,102356,127130,144996,95955.0,23882,38831,150026,38617,35515.0,156013,24216,68237,155913,23629,46810,160496,155129,185236,win,2015,0,11,21,38.0,44.0,19.0,7.0
47,2015/2016,13,2015-11-22,34610,8586,8654,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,26295,159833.0,160599,37762,46353,361315,363333,212867.0,41008,157723,194165,169756,214685.0,109897,35110,155782,37169,148302,106228,210276,192899,47382,win,2015,0,11,22,45.0,44.0,61.0,55.0
48,2015/2016,13,2015-11-21,38545,9817,10260,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,2,8,4,6,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,10,10,30455,213809.0,40548,114769,24915,41365,22991,37411.0,72436,25816,101419,182917,23354.0,186137,165823,161012,46893,30872,41468,164676,299215,303824,lose,2015,0,11,21,15.0,4.0,98.0,90.0
49,2015/2016,13,2015-11-21,37716,8659,9825,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,23021,169162.0,26527,43248,23257,113968,24148,24171.0,33468,175947,51545,30859,427438.0,35606,46539,38521,37436,159594,50047,36378,78513,46469,lose,2015,0,11,21,106.0,112.0,73.0,69.0
50,2015/2016,14,2015-11-28,47982,10252,9817,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11,69650,32870.0,24208,161414,30352,261313,56972,179410.0,358289,154280,23991,30455,213809.0,40548,114769,417068,41365,22991,165773,72436,25816,101419,lose,2015,0,11,28,36.0,29.0,15.0,4.0
51,2015/2016,14,2015-11-28,49685,8678,8668,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,6,6,8,8,8,11,38617,35515.0,156013,24216,68237,155913,46810,23629.0,160496,155129,185236,31465,77690.0,213878,263653,316688,101192,23782,251925,215384,30922,181276,lose,2015,0,11,28,19.0,7.0,68.0,61.0
52,2015/2016,14,2015-11-28,48141,9826,10261,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,36283,146830.0,23837,23030,183519,26160,28901,160194.0,35345,198510,169721,23979,104482.0,277761,30929,308932,160243,109652,94550,108038,479020,46700,win,2015,0,11,28,70.0,52.0,33.0,30.0
53,2015/2016,14,2015-11-28,34877,8197,10260,1,2,4,6,8,2,4,6,8,4,6,1,3,5,7,2,4,6,8,5,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,7,7,7,7,9,11,11,37770,49571.0,38899,23571,43061,278343,173317,319300.0,139671,20694,286119,182917,575780.0,165823,161012,46820,30872,34944,23354,41468,413557,30829,lose,2015,0,11,28,32.0,25.0,90.0,96.0
54,2015/2016,14,2015-11-29,50119,8650,10003,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,37868,157838.0,22764,114268,314605,38807,307021,280653.0,242709,37234,148315,30973,111800.0,165704,24948,102356,23882,144996,38831,157729,95955,150026,win,2015,0,11,29,76.0,74.0,48.0,50.0
55,2015/2016,14,2015-11-28,53482,8456,8466,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,28955,26111.0,30459,174321,16351,40196,78324,169200.0,36615,246575,37412,30841,72665.0,26552,209405,46010,166676,212470,303339,23792,279490,23293,win,2015,0,11,28,96.0,87.0,27.0,28.0
56,2015/2016,14,2015-11-29,48331,9850,9825,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,40602,265918.0,72417,26209,25667,24393,32734,46354.0,35493,231801,37779,30859,427438.0,35606,46539,38521,23688,37436,75489,36378,50047,46469,lose,2015,0,11,29,44.0,37.0,99.0,86.0
57,2015/2016,14,2015-11-28,45572,8472,10194,1,3,5,7,1,3,5,7,9,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,7,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,103428,165526.0,24150,26108,432040,35443,109330,25150.0,180330,32627,30348,288880,34036.0,40695,200962,37194,23253,39109,176300,96643,110148,33881,lose,2015,0,11,28,95.0,54.0,80.0,75.0
58,2015/2016,14,2015-11-29,55425,8586,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,26295,159833.0,160599,37762,46353,361315,160448,212867.0,41008,157723,194165,46518,31306.0,281207,23783,72541,115067,30613,94086,128864,150250,107417,win,2015,0,11,29,46.0,48.0,97.0,115.0
59,2015/2016,14,2015-11-29,41368,8654,8659,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,169756,214685.0,49543,35110,155782,148302,163919,106228.0,210276,18506,192899,23021,169162.0,43248,32441,26527,24148,113968,33468,24171,175947,51545,win,2015,0,11,29,27.0,25.0,94.0,77.0
